"Step","qmix_originalstate_seed3 - eval_win_rate","qmix_originalstate_seed3 - eval_win_rate__MIN","qmix_originalstate_seed3 - eval_win_rate__MAX","qmix_originalstate_seed2 - eval_win_rate","qmix_originalstate_seed2 - eval_win_rate__MIN","qmix_originalstate_seed2 - eval_win_rate__MAX","qmix_originalstate_seed1 - eval_win_rate","qmix_originalstate_seed1 - eval_win_rate__MIN","qmix_originalstate_seed1 - eval_win_rate__MAX"
"1702224","0.96875","0.96875","0.96875","","","","","",""
"1704120","","","","","","","0.96875","0.96875","0.96875"
"1714157","","","","","","","0.875","0.875","0.875"
"1722149","","","","0.96875","0.96875","0.96875","","",""
"1722239","0.9375","0.9375","0.9375","","","","","",""
"1724178","","","","","","","0.96875","0.96875","0.96875"
"1734188","","","","","","","1","1","1"
"1742149","","","","0.96875","0.96875","0.96875","","",""
"1742256","0.96875","0.96875","0.96875","","","","","",""
"1744190","","","","","","","1","1","1"
"1754234","","","","","","","1","1","1"
"1762153","","","","0.96875","0.96875","0.96875","","",""
"1762263","1","1","1","","","","","",""
"1764237","","","","","","","1","1","1"
"1774255","","","","","","","1","1","1"
"1782165","","","","0.375","0.375","0.375","","",""
"1782277","0.9375","0.9375","0.9375","","","","","",""
"1784295","","","","","","","0.4375","0.4375","0.4375"
"1794325","","","","","","","0.6875","0.6875","0.6875"
"1802176","","","","0.96875","0.96875","0.96875","","",""
"1802303","0.9375","0.9375","0.9375","","","","","",""
"1804371","","","","","","","1","1","1"
"1814397","","","","","","","0.96875","0.96875","0.96875"
"1822190","","","","0.90625","0.90625","0.90625","","",""
"1822357","1","1","1","","","","","",""
"1824398","","","","","","","1","1","1"
"1834408","","","","","","","0.9375","0.9375","0.9375"
"1842195","","","","0.9375","0.9375","0.9375","","",""
"1842379","0.9375","0.9375","0.9375","","","","","",""
"1844411","","","","","","","1","1","1"
"1854436","","","","","","","0.71875","0.71875","0.71875"
"1862202","","","","1","1","1","","",""
"1862402","0.9375","0.9375","0.9375","","","","","",""
"1864461","","","","","","","1","1","1"
"1874520","","","","","","","0.90625","0.90625","0.90625"
"1882223","","","","1","1","1","","",""
"1882504","0.96875","0.96875","0.96875","","","","","",""
"1884553","","","","","","","0.96875","0.96875","0.96875"
"1894575","","","","","","","1","1","1"
"1902234","","","","0.9375","0.9375","0.9375","","",""
"1902523","0.46875","0.46875","0.46875","","","","","",""
"1904631","","","","","","","0.8125","0.8125","0.8125"
"1914689","","","","","","","0.84375","0.84375","0.84375"
"1922280","","","","1","1","1","","",""
"1922540","0.75","0.75","0.75","","","","","",""
"1924699","","","","","","","1","1","1"
"1934706","","","","","","","0.96875","0.96875","0.96875"
"1942315","","","","1","1","1","","",""
"1942569","1","1","1","","","","","",""
"1944725","","","","","","","1","1","1"
"1954734","","","","","","","0.96875","0.96875","0.96875"
"1962336","","","","1","1","1","","",""
"1962587","1","1","1","","","","","",""
"1964747","","","","","","","1","1","1"
"1974747","","","","","","","0.96875","0.96875","0.96875"
"1982337","","","","0.9375","0.9375","0.9375","","",""
"1982590","1","1","1","","","","","",""
"1984775","","","","","","","1","1","1"
"1994795","","","","","","","0.90625","0.90625","0.90625"
"2002350","","","","0.96875","0.96875","0.96875","","",""
"2002592","1","1","1","","","","","",""
"2004817","","","","","","","1","1","1"
"2014834","","","","","","","0.84375","0.84375","0.84375"
"2022379","","","","1","1","1","","",""
"2022610","1","1","1","","","","","",""
"2024943","","","","","","","0.9375","0.9375","0.9375"
"2034960","","","","","","","1","1","1"
"2042398","","","","0.9375","0.9375","0.9375","","",""
"2042636","1","1","1","","","","","",""
"2044995","","","","","","","1","1","1"
"2055035","","","","","","","0.90625","0.90625","0.90625"
"2062409","","","","0.90625","0.90625","0.90625","","",""
"2062637","0.96875","0.96875","0.96875","","","","","",""
"2065039","","","","","","","1","1","1"
"2075047","","","","","","","0.96875","0.96875","0.96875"
"2082461","","","","1","1","1","","",""
"2082647","0.9375","0.9375","0.9375","","","","","",""
"2085050","","","","","","","1","1","1"
"2095058","","","","","","","0.96875","0.96875","0.96875"
"2102464","","","","0.9375","0.9375","0.9375","","",""
"2102661","0.96875","0.96875","0.96875","","","","","",""
"2105119","","","","","","","0.90625","0.90625","0.90625"
"2115155","","","","","","","0.96875","0.96875","0.96875"
"2122491","","","","1","1","1","","",""
"2122681","0.96875","0.96875","0.96875","","","","","",""
"2125184","","","","","","","0.875","0.875","0.875"
"2135196","","","","","","","0.96875","0.96875","0.96875"
"2142503","","","","0.96875","0.96875","0.96875","","",""
"2142685","1","1","1","","","","","",""
"2145227","","","","","","","0.90625","0.90625","0.90625"
"2155264","","","","","","","0.9375","0.9375","0.9375"
"2162540","","","","0.9375","0.9375","0.9375","","",""
"2162711","1","1","1","","","","","",""
"2165277","","","","","","","0.9375","0.9375","0.9375"
"2175286","","","","","","","0.9375","0.9375","0.9375"
"2182540","","","","0.9375","0.9375","0.9375","","",""
"2182740","1","1","1","","","","","",""
"2185319","","","","","","","0.96875","0.96875","0.96875"
"2195322","","","","","","","1","1","1"
"2202546","","","","1","1","1","","",""
"2202756","1","1","1","","","","","",""
"2205337","","","","","","","1","1","1"
"2215338","","","","","","","1","1","1"
"2222554","","","","0.9375","0.9375","0.9375","","",""
"2222763","0.875","0.875","0.875","","","","","",""
"2225367","","","","","","","0.90625","0.90625","0.90625"
"2235403","","","","","","","0.9375","0.9375","0.9375"
"2242564","","","","1","1","1","","",""
"2242769","1","1","1","","","","","",""
"2245419","","","","","","","1","1","1"
"2255450","","","","","","","0.90625","0.90625","0.90625"
"2262577","","","","0.96875","0.96875","0.96875","","",""
"2262773","0.96875","0.96875","0.96875","","","","","",""
"2265450","","","","","","","1","1","1"
"2275479","","","","","","","1","1","1"
"2282628","","","","0.96875","0.96875","0.96875","","",""
"2282806","1","1","1","","","","","",""
"2285508","","","","","","","1","1","1"
"2295536","","","","","","","0.9375","0.9375","0.9375"
"2302630","","","","0.96875","0.96875","0.96875","","",""
"2302837","1","1","1","","","","","",""
"2305572","","","","","","","1","1","1"
"2315593","","","","","","","0.9375","0.9375","0.9375"
"2322639","","","","0.96875","0.96875","0.96875","","",""
"2322865","0.96875","0.96875","0.96875","","","","","",""
"2325611","","","","","","","0.71875","0.71875","0.71875"
"2335738","","","","","","","0.8125","0.8125","0.8125"
"2342643","","","","0.96875","0.96875","0.96875","","",""
"2342866","1","1","1","","","","","",""
"2345764","","","","","","","0.96875","0.96875","0.96875"
"2355783","","","","","","","0.96875","0.96875","0.96875"
"2362646","","","","1","1","1","","",""
"2362900","1","1","1","","","","","",""
"2365812","","","","","","","0.96875","0.96875","0.96875"
"2375921","","","","","","","0.9375","0.9375","0.9375"
"2382673","","","","0.75","0.75","0.75","","",""
"2382916","0.9375","0.9375","0.9375","","","","","",""
"2385934","","","","","","","1","1","1"
"2395952","","","","","","","0.125","0.125","0.125"
"2402722","","","","0.96875","0.96875","0.96875","","",""
"2402923","1","1","1","","","","","",""
"2405977","","","","","","","0.84375","0.84375","0.84375"
"2416002","","","","","","","0.96875","0.96875","0.96875"
"2422743","","","","1","1","1","","",""
"2422936","1","1","1","","","","","",""
"2426024","","","","","","","0.96875","0.96875","0.96875"
"2436063","","","","","","","0.65625","0.65625","0.65625"
"2442890","","","","0.96875","0.96875","0.96875","","",""
"2442949","0.875","0.875","0.875","","","","","",""
"2446084","","","","","","","0.90625","0.90625","0.90625"
"2456108","","","","","","","1","1","1"
"2462904","","","","0.8125","0.8125","0.8125","","",""
"2462951","0.625","0.625","0.625","","","","","",""
"2466175","","","","","","","0.875","0.875","0.875"
"2476206","","","","","","","1","1","1"
"2482950","","","","1","1","1","","",""
"2483092","0.75","0.75","0.75","","","","","",""
"2486285","","","","","","","0.75","0.75","0.75"
"2496292","","","","","","","0.96875","0.96875","0.96875"
"2502972","","","","1","1","1","","",""
"2503102","1","1","1","","","","","",""
"2506307","","","","","","","0.96875","0.96875","0.96875"
"2516319","","","","","","","1","1","1"
"2522972","","","","0.9375","0.9375","0.9375","","",""
"2523129","1","1","1","","","","","",""
"2526348","","","","","","","0.875","0.875","0.875"
"2536351","","","","","","","0.96875","0.96875","0.96875"
"2542974","","","","0.96875","0.96875","0.96875","","",""
"2543175","0.78125","0.78125","0.78125","","","","","",""
"2546373","","","","","","","1","1","1"
"2556400","","","","","","","0.96875","0.96875","0.96875"
"2563002","","","","0.9375","0.9375","0.9375","","",""
"2563183","1","1","1","","","","","",""
"2566432","","","","","","","1","1","1"
"2576452","","","","","","","0.875","0.875","0.875"
"2583017","","","","0.90625","0.90625","0.90625","","",""
"2583195","1","1","1","","","","","",""
"2586493","","","","","","","0.5625","0.5625","0.5625"
"2596541","","","","","","","0.75","0.75","0.75"
"2603019","","","","0.9375","0.9375","0.9375","","",""
"2603197","0.90625","0.90625","0.90625","","","","","",""
"2606552","","","","","","","0.9375","0.9375","0.9375"
"2616578","","","","","","","0.65625","0.65625","0.65625"
"2623040","","","","1","1","1","","",""
"2623232","0.90625","0.90625","0.90625","","","","","",""
"2626607","","","","","","","0.9375","0.9375","0.9375"
"2636635","","","","","","","0.90625","0.90625","0.90625"
